"id","version_id:id","model_id:id","external_list_method","external_get_method","external_update_method","external_create_method","external_delete_method","key_for_external_id"
"magento_1324_website","magento1324","base_sale_multichannels.model_external_shop_group","ol_websites.list",,,,,"website_id"
"magento_1324_storeview","magento1324","model_magerp_storeviews","ol_storeviews.list",,,,,"store_id"
"magento_1324_store","magento1324","sale.model_sale_shop","ol_groups.list",,,,,"group_id"
"magento_1324_order","magento1324","sale.model_sale_order","sales_order.list","sales_order.info",,,,"increment_id"
"magento_1324_order_line","magento1324","sale.model_sale_order_line",,,,,,"item_id"
"magento_1324_pro_cat","magento1324","product.model_product_category","category.list","category.info","catalog_category.update","catalog_category.create",,"category_id"
"magento_1324_attr_grp","magento1324","model_magerp_product_attribute_groups","ol_catalog_product_attribute_group.list","ol_catalog_product_attribute_group.list",,,,"attribute_group_id"
"magento_1324_attr_set","magento1324","model_magerp_product_attribute_set","ol_catalog_product_attributeset.list",,,,,"attribute_set_id"
"magento_1324_attr","magento1324","model_magerp_product_attributes","ol_catalog_product_attribute.list",,,,,"attribute_id"
"magento_1324_prd","magento1324","product.model_product_product","catalog_product.list","catalog_product.info","ol_catalog_product.update","ol_catalog_product.create",,"product_id"
"magento_1324_cst_grp","magento1324","base.model_res_partner_category","ol_customer_groups.list",,,,,"customer_group_id"
"magento_1324_prt_adr","magento1324","base.model_res_partner_address","ol_customer_address.list","ol_customer_address.info",,,,"customer_address_id"
"magento_1324_prt","magento1324","base.model_res_partner","customer.list","customer.info","customer.update",,,"customer_id"
